"","Var.2","F2.hiPSC","F3.hiPSC","F3 D3 noDNMTi iOLC.1","F3 D3 noDNMTi iOLC.2","F3 D3 noDNMTi iOLC.3","F2 D3 iOLC","F3 D3 iOLC","PGP1 D3 iOLC","F3 D3+ANHX iOLC","PGP1 D3+ANHX iOLC","F3 D3+ZGLP1 iOLC","PGP1 D3+ZGLP1 iOLC","F3 D3+ARV7 iOLC","PGP1 D3+ARV7 iOLC","F3 D3+ZGLP1+ARV7 iOLC","PGP1 D3+ZGLP1+ARV7 iOLC","F3 D5+ARV7 iOLC","PGP1 D5+ARV7 iOLC","F2 D5 iOLC","F3 D5 iOLC.1","F3 D5 iOLC.2","PGP1 D5 iOLC","PGP1 D5 iOLC.2","F2 D5 reset iOLC","F3 D5 reset iOLC","PGP1 D5 reset iOLC","F2 D5 unsorted","F3 D5 unsorted","PGP1 D5 unsorted","hESC.1","hESC.2","Soma.wk7F.1","Soma.wk7F.2","Soma.wk7F.3","hPGC.wk7F.1","hPGC.wk7F.2","hPGC.wk9F.1","hPGC.wk9F.2","Fetal.Ovary.wk19.1","Fetal.Ovary.wk19.2","Fetal.Ovary.wk19.3","iPSC.M.1","iPSC.M.2","iPSC.M.3","iMeLC.M.1","iMeLC.M.2","iMeLC.M.3","d6PGCLC.M.1","d6PGCLC.M.2","d6PGCLC.M.3","xrOvary.M.d7.1","xrOvary.M.d7.2","xrOvary.M.d21.1","xrOvary.M.d21.2","xrOvary.M.d35.1","xrOvary.M.d35.2","xrOvary.M.d49","xrOvary.M.d63.1","xrOvary.M.d63.2","xrOvary.M.d77.1","xrOvary.M.d77.2","xrOvary.F.d77.1","xrOvary.F.d77.2","xrOvary.F.d120.DDX4neg","xrOvary.F.d120.DDX4.1","xrOvary.F.d120.DDX4.2","xrOvary.F.d120.DDX4.TFAP2Cneg"
"GRIK2",11349,3.874767224,4.264701052,3.02483717,9.273903946,8.844799987,6.353065455,6.022251203,6.002933882,5.561278246,5.603299933,5.708160383,6.887224871,5.573753262,4.903238207,5.269570577,5.172480552,4.972046877,6.306603969,5.681659702,4.722995825,5.762984776,5.685779723,5.200474647,4.739021841,5.850321932,5.722096276,6.098649694,6.359165256,3.881568691,4.909810397,4.531403823,8.945264668,9.034608411,8.917756802,2.45079492,1.122979426,1.464514336,2.175402096,5.54931794,6.116101495,6.181814426,1.948272986,0,0,0,2.746822706,0,2.556023447,0,0,0,0,0,0,0,0,0,3.491318968,0,0,0,0,2.404191511,0,0,0,2.97254001
"NLRP4",10495,0,0,0.842547032,6.644202728,5.215146812,3.165888352,2.116747124,3.475690392,2.499401107,2.791672931,3.13573502,4.613241071,2.82170664,2.590423818,1.619232611,0.896246097,0.249424219,2.989522743,2.106410378,1.073662192,1.942186579,2.732805669,2.611187318,1.609975529,3.124219937,2.859478977,2.075766189,2.796333609,0.477722319,0,0,0,0,0,3.398282651,4.027996082,4.467048995,2.778599837,3.574291788,2.970178917,3.829615022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.822958186,3.383287144,1.949444885,2.907954061,0,4.192212895,4.827650255
"PRDM9",11297,0,0,0.842547032,2.968872816,3.599548708,2.955400766,2.742606494,2.893778086,3.421869987,2.963843992,2.427991155,4.538509597,2.930131575,2.213244044,2.154948139,1.157244045,2.197210974,3.029638632,2.856988984,2.371161087,2.646006247,2.527334124,2.168757252,2.144300202,3.40837844,2.576006885,2.893627199,3.459604111,1.468033461,0,0,0,0,0,0,0,0.665909821,1.637039755,5.956632808,6.162736115,6.512872716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.281626722,0,0,2.757040129,4.429449153
"CTCFL",5447,1.826659777,0,1.75686942,7.560746908,7.570409656,5.301381406,6.341480296,4.619678343,7.741775332,6.773378734,7.323659812,5.933788041,5.038585782,4.607732454,5.652955558,3.706755409,6.191717626,5.632116534,7.779378126,9.225050145,9.450755604,6.852220865,6.145528821,7.261802993,8.233821557,6.199693101,5.389803129,6.11660122,4.252248939,0,0,1.136926008,0,0.421588503,1.275825394,2.253832439,0.983760996,2.175402096,6.078109867,5.676186071,5.809252412,3.259629338,2.985119799,4.431574714,0,3.635144258,3.953189391,0,0,0,0,0,0,0,0,0,0,0,0,0,4.212282616,3.677294343,1.949444885,2.907954061,2.956701365,5.368787683,8.190267689
"STRA8",8892,0,0,0,5.883830101,4.981182975,2.733105784,2.784312816,2.301808133,2.478414921,2.241879534,2.242551972,3.497750722,2.508540465,2.50496585,2.24178177,1.157244045,1.380855244,2.124025849,2.224515477,1.506542213,1.887810891,2.482479311,2.03313506,2.533336295,2.406696202,2.410216026,2.646629447,2.796333609,0.667951276,0,0,0,0,0,1.392002137,0.305203129,0.833571289,1.40125964,6.078109867,5.707980423,5.809252412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.131502,5.152202675,6.045860333
"REC8",2409,6.013324024,6.397485624,6.813094381,4.425441104,0,3.955108407,3.208629925,3.294902564,2.913155705,2.745216503,3.509141672,4.858246947,3.504183202,3.858924082,3.14959108,3.733690224,1.748099418,3.029638632,2.146862598,1.442826859,2.508617807,3.041912782,3.243661007,2.206721592,2.715465744,3.585518407,3.7623908,4.235741149,3.630377439,5.093369288,4.306626431,7.19074779,7.365011205,7.44934326,6.899418239,6.948462423,5.865131727,6.18485898,9.065192547,8.856711686,8.843020301,5.141983453,6.803311924,5.397753572,6.674554882,6.775249055,6.458367467,6.693455502,7.558107627,6.934888305,7.058395868,7.16266733,7.864867233,7.645476103,8.18985907,8.028627459,7.850637928,7.574010355,7.447716965,7.097051088,6.606586377,7.33437343,7.863213532,6.304992228,6.725656135,7.722758956,8.83437551
"SYCP1",17853,1.288880742,1.670525057,0,7.61200907,7.129532898,5.106435385,5.570577929,4.863484726,6.074418959,5.99939923,5.197731286,5.981586527,5.460798054,4.744514946,4.441029131,3.405504418,4.228115562,5.045412031,5.695361702,5.358157225,5.689388629,5.593878793,5.135729339,5.125757211,5.556520861,5.835469593,4.724275067,5.051650187,4.651994274,0,0,0,1.311971884,0,0.491705971,0.305203129,1.464514336,0.954492422,7.304936465,7.481756557,7.646499675,1.948272986,0,3.496927472,0,0,0,0,0,0,0,0,0,0,0,0,2.558226778,0,0,0,0,0,1.281626722,0,0,1.95607136,4.179743813
"SYCP2",16967,0,0,4.205602912,6.953339438,7.010134314,5.613528159,7.18855465,6.833382747,8.317674633,8.120735868,7.660949812,7.566999628,8.005865337,7.471587876,7.639308545,6.852271457,7.626872499,7.411917361,7.355243466,8.235413685,7.992001204,8.158194901,7.041221506,7.127074412,8.085109923,7.347246796,5.389803129,6.305941007,5.754710162,0.594393947,0.610505657,1.136926008,0.454914584,1.013072395,0.266700561,0.957818324,4.755129924,5.729371211,7.526024915,7.588095127,7.693317204,1.948272986,0,0,0,0,0,2.556023447,3.311303099,2.549437805,2.653402487,0,5.245137938,3.521743039,0,2.657362598,3.430240626,4.425705779,3.211877508,2.68622597,5.486739767,4.619777231,3.79495283,4.571030971,5.1217342,6.008111927,6.492481385
"SYCP3",7814,0.226274114,0,3.221682033,5.964934269,4.538779013,5.65851277,5.564606357,5.467223669,7.721824147,8.123008621,5.54725434,3.946217739,6.156975276,6.743766326,6.366378566,5.18229057,6.734730226,6.567278999,7.245434398,7.404425984,6.762918447,7.78146464,7.035317501,7.741250217,6.816864591,6.606624325,3.6988547,4.64715433,4.459502002,1.894967906,2.476524305,2.458565257,2.234812907,2.52396866,5.108683121,5.308782618,6.196596218,6.408403543,8.929720187,9.020763328,8.860219694,8.044608901,8.438357464,9.038292399,8.064311389,9.131374622,9.107450019,6.942762242,7.523528909,7.643975246,8.290931675,8.596866341,9.412579137,8.325566583,9.634999417,9.387817313,9.726117906,9.467529466,9.96144892,10.30174287,10.02847354,8.803418526,8.379473829,7.437931469,8.448399782,9.106137737,9.179299101
"SPO11",736,0,0,0,7.507595968,6.535368786,3.183584191,2.824847264,3.396310138,2.560587914,2.69721421,3.162128597,4.193568323,2.903779664,2.460260425,2.510150713,1.791030267,0.958778085,2.567219362,2.729609329,1.839070852,2.356755359,2.527334124,2.292718482,1.514497819,2.223377149,2.154593354,3.632391055,2.851406014,0.258545111,0,0,0.378267318,0,0,0,0,0,0,6.957691211,6.80116817,6.932653478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.131502,3.944876973,4.642244848
"SYNE1",6381,3.948025352,3.523142271,3.816396748,10.05848143,9.92390574,7.158720061,7.00008992,7.341282136,7.951909364,8.127543414,6.784128934,7.99496057,8.188872374,7.583945711,6.245504255,5.74570133,6.437703783,7.243050921,6.887900533,6.366452185,6.787259297,7.477267835,6.926288737,6.498712068,6.808744965,6.961625599,7.316919054,7.605918531,5.986738686,3.610752055,3.460623413,9.830566142,10.5015407,9.85307702,3.927302094,4.185728561,5.216133728,5.09004441,6.679164921,6.612471447,6.327438225,0,0,3.496927472,0,2.746822706,3.953189391,0,0,2.549437805,0,0,4.77484709,4.064215942,3.44156894,5.037940953,2.558226778,2.614219326,3.211877508,4.507483874,2.428699559,1.747868843,3.261045839,3.427377664,2.131502,4.58738398,3.877581221
"SYNE2",733,7.05465639,7.272275726,7.57123197,9.587383434,9.329330022,8.400612856,8.338611481,8.62319958,8.494996281,8.739953465,7.865523575,8.82401671,9.156367981,9.523668517,7.483216644,7.402443644,7.606758614,7.75176939,7.265092051,7.478784726,7.310882127,8.598048126,8.342884329,7.70251301,8.041427895,8.605103598,7.457924114,8.427473717,8.296668134,9.821954209,9.735216686,9.769936436,9.547539525,9.773071434,10.4829132,10.56435076,11.02168564,10.60713239,9.008246499,9.052067766,9.119311857,5.358527094,5.816171793,4.994078111,5.553900433,4.180873202,5.47468124,8.269095019,8.554274932,7.928980529,6.124936293,7.019336952,8.159176568,7.919856892,8.715094917,8.769244508,8.78491285,8.448564074,8.694454654,9.131693203,8.659408213,9.240330738,9.051257621,8.046982026,8.155150548,8.805441216,7.369641552
